
2024/04/03 (19:30:56) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/03 (19:30:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/03 (19:30:56) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/03 (19:30:56) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/03 (19:30:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/03 (19:32:44) | ===> btop++ v.1.3.2
2024/04/03 (19:32:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/03 (19:32:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/03 (19:32:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
